,contrast,B_shadow,B_dark,B_light,B_highlight,G_shadow,G_dark,G_light,G_highlight,R_shadow,R_dark,R_light,R_highlight,B_average,G_average,R_average,sharpness,red_average,orange_average,yellow_average,green_average,cyan_average,blue_average,purple_average
20180902-DSC03633.jpg,0.004666378110091675,0.013399828728346247,0.0002807127662919416,4.065562010638728e-05,9.129712016227862e-06,0.011634464707198254,0.00266909551703057,0.0006485737300062516,0.00018471798747578597,0.00945078150281024,0.0026896401474649826,0.0020181917259677593,0.0020480909015464024,0.0001435170383267066,0.0011686359209806018,0.0025494878892750386,0.0010785494635034744,0.01597473901270118,0.003461275110841389,0.00027980737677242877,0.00020270113575140405,2.478080577907576e-06,5.760372317123016e-05,2.5044419022163317e-05
20180902-DSC03635.jpg,0.006185704360853549,0.008665461390975333,0.005635865512341017,0.0014925494377808109,0.001225862416769706,0.00880805387944844,0.005312692759217621,0.0014889930649138513,0.0012669981596919384,0.008738126718470704,0.005247908719975294,0.001638239724678745,0.0011603039116880327,0.0026564178528505756,0.0026590888213526495,0.002632977274747195,0.0008924089776907665,0.012130725160940064,0.005615119642785271,0.001666737509551162,0.0,0.0,0.0,0.001607636440416555
20180902-DSC03657.jpg,0.0034504856343203294,0.013416095221145763,0.0002604937486207293,8.527916624813378e-05,4.4785601265427115e-05,0.01322184967533088,0.0005046706114910293,0.00029083856041177576,0.0002307327838072026,0.012540938704834645,0.0008631583884977719,0.00032123339357141757,0.0007828271345433214,0.0001353242092812387,0.00046521455126189955,0.000855664751851449,0.0005048300356810937,0.018192261604367238,0.0008502959079220009,0.0003520748896579983,6.174498573176775e-05,2.851124965979684e-06,2.4622590282000466e-05,1.9979458873224543e-05
20180902-DSC03681.jpg,0.004017017754511146,0.011316346748702783,0.004055236222454883,0.0009612847582119276,0.0008298525775094163,0.011502560265850593,0.0038227001813256668,0.0009589942565072674,0.0008576995869492957,0.011411241412177028,0.0037760854099126244,0.0010551173969637396,0.0007854724793226626,0.0029927085752492876,0.0029957176765214384,0.002966300523886619,0.0007821625233619,0.015841682980363522,0.004014000457459809,0.0010756669611503061,0.0,0.0,0.0,0.0010742418693031352
20180902-GOPR0969.jpg,0.0058727689715889556,0.003547149526676452,0.00796280981042218,0.007990848462873882,0.005182803164615111,0.003605518822340473,0.007506205023917401,0.007971808264982947,0.005356720282620852,0.0035768945997200446,0.007414672856922291,0.008770848760113603,0.004905629459836654,0.006242839565446477,0.006249116600448675,0.006187751933708235,0.009446140678410552,0.004965632419490537,0.008372026849925152,0.006343191580477296,0.0,0.0,0.0,0.009541625176578304
20180902-IMG_4613.jpg,0.00796883429638654,0.005555606340344808,0.0026854683796634043,0.006006174655294237,0.007676440338817636,0.0035955421181788853,0.002910658639765047,0.004697303012356259,0.012779444108016147,0.002419729423749946,0.0029654347438778294,0.0031840505823983118,0.015598679254535158,0.005995380486054894,0.007586403696336849,0.008707980164343774,0.0007819439452589656,0.004950416569964984,0.008822688311882166,0.01959540605522497,9.813772566638583e-06,4.796284989498534e-07,3.397781547654158e-07,2.3063657821060474e-05
20180902-IMG_4614.jpg,0.007918841615402766,0.00501832247035171,0.0027548280828076405,0.006254271573918478,0.0077728073420222235,0.0033769621319907654,0.0027019593028207657,0.0047360227853357395,0.012865331637556328,0.0024643843374539767,0.0025994195885381496,0.00310599915815229,0.015542421588894505,0.006231671244603361,0.00768835706675204,0.008728731506162574,0.0007317161625967676,0.004649276603679178,0.008663873005688789,0.019726995094279186,1.057317163429514e-05,6.661506929859075e-07,3.6243003174977684e-07,2.2349136657192326e-05
20180903-DSC03714.jpg,0.006183057714137809,0.005791078799850558,0.011931207810059474,0.0008793564586353865,0.0009872543042252846,0.003219969558405781,0.006828213192318342,0.007059528647037157,0.0021371339041519493,0.00242909255081692,0.0037732608431320152,0.006088705529388715,0.0078292552280529,0.003296805439170776,0.005570405833010139,0.007248955630749602,0.0007871931536901521,0.004431819778027284,0.015734282356352523,0.003276997569247236,1.3143445401748101e-05,5.32920554388726e-08,2.8541365000294926e-06,1.3729659832301883e-05
20180903-DSC03729.jpg,0.00400868735789987,0.012341464120174866,0.003121824696367989,0.0008457853048952803,0.000707224168526678,0.012544546218276423,0.002942812496789298,0.0008437700095667216,0.0007309561886840169,0.012444955035615197,0.002906927251977421,0.0009283438457416479,0.0006694021759343815,0.0025523396423911163,0.0025549059625896145,0.0025298174640110763,0.0007868295303465894,0.01727673837210343,0.003142521293236812,0.0009962037797774208,0.0,0.0,0.0,0.0008665332803381729
20180903-DSC03733.jpg,0.0032574682605846835,0.01195598164934553,0.0017595670732805607,0.0006266042567098176,0.00034513449453398454,0.012152720530127399,0.0016586696806560957,0.0006251112151257496,0.0003567160257454204,0.01205624005254875,0.0016384435304622514,0.0006877681629903722,0.00032667687546985614,0.002284259167202711,0.0022865559385030635,0.0022641025659512473,0.0006317116703762619,0.016737103874064952,0.001779265444478168,0.00048717628525246187,0.0,0.0,0.0,0.0006485229242131369
20181015-DSC04033.jpg,0.007349864180655219,0.008151638365590037,0.00442231651534341,0.002651988360542006,0.0017827062053083558,0.007876121981086791,0.003498351476384624,0.002616900285574105,0.003278199498994141,0.006737925794592601,0.0036567620732600678,0.002295649793067276,0.005161244020813053,0.0032796069339803076,0.0038209212827069404,0.004669246803820996,0.0011890549933092755,0.009962406127199244,0.00659295845899397,0.005020789343075097,1.974437575907048e-05,1.159102205795479e-05,0.0026272553001541322,0.00013416717651671024
20181015-DSC04040.jpg,0.008427128491099873,0.006994476702001763,0.004185472636849225,0.003185690034053866,0.0033047302038203795,0.006928299956495949,0.0030854391578919635,0.0031384522769330424,0.004665038837501645,0.0065753837673952036,0.0022287292881822893,0.0026678943876782177,0.006378863736053475,0.003907562152943723,0.004314866321900396,0.004914825931331826,0.0010069122757798432,0.008492959851396547,0.00576716615963968,0.00713163791675917,9.656051221817605e-05,2.9790258990329784e-05,0.003282777968204557,0.0010322027000669433
20181225-DSC04177.jpg,0.004554037207021763,0.002015368921090247,0.008615142473156352,0.010486158421165355,0.0012345606493780778,0.0026258287221912254,0.011916095175653434,0.007581158561062586,0.00012174663734206536,0.0019663496183282723,0.003366279729588054,0.009716579280764184,0.0076521377926866314,0.006072553874428683,0.005222053206360426,0.007272282915776062,0.003152097174276917,0.002650500999786946,0.01544250516933033,4.6624201861657754e-08,2.3950278287629875e-06,0.00015923666165135132,0.0029146849672086897,0.00552788846198008
20181225-DSC04201.jpg,0.004008389713211773,0.0017426459626700235,0.005610071359429889,0.007512447805760335,0.00903283508281399,0.0012461044014783133,0.005924414712540081,0.012560136428251255,0.003002536408548795,0.005073961036752342,0.009398151829464112,0.006876207020394681,0.0007543687938645154,0.007321339278689507,0.0068965459195277105,0.004717777626920654,0.004236063120671966,0.0012719547089877258,0.006172012671922446,5.1737322665819556e-05,0.0011442391490197414,0.04436587596711091,0.005304435337181797,0.0001403898418425493
